split,dataset,scenario,iteration,best_k,f1_score,accuracy
within,features,all,1,1,0.8112,0.8303
within,features,pca,1,1,0.7684,0.7853
within,features,relieff,1,1,0.7642,0.7815
within,features,all,2,1,0.8144,0.8354
within,features,pca,2,1,0.7606,0.7835
within,features,relieff,2,1,0.7015,0.7205
within,features,all,3,1,0.8196,0.8367
within,features,pca,3,1,0.7714,0.7893
within,features,relieff,3,1,0.7223,0.7437
within,features,all,4,5,0.8115,0.8323
within,features,pca,4,1,0.7754,0.7956
within,features,relieff,4,3,0.7601,0.7793
within,features,all,5,1,0.8178,0.8332
within,features,pca,5,1,0.7687,0.7868
within,features,relieff,5,1,0.7049,0.7187
within,features,all,6,1,0.8160,0.8396
within,features,pca,6,1,0.7770,0.7938
within,features,relieff,6,1,0.7185,0.7363
within,features,all,7,1,0.8234,0.8399
within,features,pca,7,1,0.7731,0.7906
within,features,relieff,7,1,0.7238,0.7439
within,features,all,8,1,0.8168,0.8348
within,features,pca,8,1,0.7704,0.7893
within,features,relieff,8,1,0.7312,0.7486
within,features,all,9,1,0.8177,0.8377
within,features,pca,9,1,0.7669,0.7838
within,features,relieff,9,1,0.7325,0.7519
within,features,all,10,1,0.8156,0.8365
within,features,pca,10,1,0.7682,0.7891
within,features,relieff,10,3,0.7431,0.7635
within,features,all,1,1,0.8112,0.8303
within,features,pca,1,1,0.7684,0.7853
within,features,relieff,1,1,0.7642,0.7815
within,features,all,2,1,0.8144,0.8354
within,features,pca,2,1,0.7606,0.7835
within,features,relieff,2,1,0.7015,0.7205
within,features,all,3,1,0.8196,0.8367
within,features,pca,3,1,0.7714,0.7893
within,features,relieff,3,1,0.7223,0.7437
within,features,all,4,5,0.8115,0.8323
within,features,pca,4,1,0.7754,0.7956
within,features,relieff,4,3,0.7601,0.7793
within,features,all,5,1,0.8178,0.8332
within,features,pca,5,1,0.7687,0.7868
within,features,relieff,5,1,0.7049,0.7187
within,features,all,6,1,0.8160,0.8396
within,features,pca,6,1,0.7770,0.7938
within,features,relieff,6,1,0.7185,0.7363
within,features,all,7,1,0.8234,0.8399
within,features,pca,7,1,0.7731,0.7906
within,features,relieff,7,1,0.7238,0.7439
within,features,all,8,1,0.8168,0.8348
within,features,pca,8,1,0.7704,0.7893
within,features,relieff,8,1,0.7312,0.7486
within,features,all,9,1,0.8177,0.8377
within,features,pca,9,1,0.7669,0.7838
within,features,relieff,9,1,0.7325,0.7519
within,features,all,10,1,0.8156,0.8365
within,features,pca,10,1,0.7682,0.7891
within,features,relieff,10,3,0.7431,0.7635
within,features,all,1,1,0.8112,0.8303
within,features,pca,1,1,0.7684,0.7853
within,features,relieff,1,1,0.7642,0.7815
within,features,all,2,1,0.8144,0.8354
within,features,pca,2,1,0.7606,0.7835
within,features,relieff,2,1,0.7015,0.7205
within,features,all,3,1,0.8196,0.8367
within,features,pca,3,1,0.7714,0.7893
within,features,relieff,3,1,0.7223,0.7437
within,features,all,4,5,0.8115,0.8323
within,features,pca,4,1,0.7754,0.7956
within,features,relieff,4,3,0.7601,0.7793
within,features,all,5,1,0.8178,0.8332
within,features,pca,5,1,0.7687,0.7868
within,features,relieff,5,1,0.7049,0.7187
within,features,all,6,1,0.8160,0.8396
within,features,pca,6,1,0.7770,0.7938
within,features,relieff,6,1,0.7185,0.7363
within,features,all,7,1,0.8234,0.8399
within,features,pca,7,1,0.7731,0.7906
within,features,relieff,7,1,0.7238,0.7439
within,features,all,8,1,0.8168,0.8348
within,features,pca,8,1,0.7704,0.7893
within,features,relieff,8,1,0.7312,0.7486
within,features,all,9,1,0.8177,0.8377
within,features,pca,9,1,0.7669,0.7838
within,features,relieff,9,1,0.7325,0.7519
within,features,all,10,1,0.8156,0.8365
within,features,pca,10,1,0.7682,0.7891
within,features,relieff,10,3,0.7431,0.7635
within,embeddings,all,1,1,0.6682,0.6991
within,embeddings,pca,1,13,0.5855,0.6183
within,embeddings,relieff,1,11,0.5565,0.6058
within,embeddings,all,2,3,0.6704,0.7018
within,embeddings,pca,2,11,0.5803,0.6127
within,embeddings,relieff,2,19,0.5315,0.5750
within,embeddings,all,3,1,0.6667,0.6976
within,embeddings,pca,3,13,0.5732,0.6053
within,embeddings,relieff,3,15,0.5602,0.6067
within,embeddings,all,4,1,0.6769,0.7096
within,embeddings,pca,4,5,0.5851,0.6194
within,embeddings,relieff,4,17,0.5479,0.5942
within,embeddings,all,5,3,0.6755,0.7089
within,embeddings,pca,5,13,0.5819,0.6138
within,embeddings,relieff,5,13,0.5558,0.6029
within,embeddings,all,6,3,0.6817,0.7131
within,embeddings,pca,6,15,0.5805,0.6132
within,embeddings,relieff,6,9,0.5518,0.5982
within,embeddings,all,7,3,0.6872,0.7178
within,embeddings,pca,7,19,0.5857,0.6160
within,embeddings,relieff,7,7,0.5590,0.6058
within,embeddings,all,8,1,0.6803,0.7114
within,embeddings,pca,8,11,0.5911,0.6234
within,embeddings,relieff,8,11,0.5633,0.6080
within,embeddings,all,9,1,0.6825,0.7113
within,embeddings,pca,9,19,0.5845,0.6174
within,embeddings,relieff,9,11,0.5209,0.5701
within,embeddings,all,10,5,0.6781,0.7078
within,embeddings,pca,10,15,0.5862,0.6174
within,embeddings,relieff,10,19,0.5549,0.6005
within,embeddings,all,1,1,0.6682,0.6991
within,embeddings,pca,1,13,0.5855,0.6183
within,embeddings,relieff,1,11,0.5565,0.6058
within,embeddings,all,2,3,0.6704,0.7018
within,embeddings,pca,2,11,0.5803,0.6127
within,embeddings,relieff,2,19,0.5315,0.5750
within,embeddings,all,3,1,0.6667,0.6976
within,embeddings,pca,3,13,0.5732,0.6053
within,embeddings,relieff,3,15,0.5602,0.6067
within,embeddings,all,4,1,0.6769,0.7096
within,embeddings,pca,4,5,0.5851,0.6194
within,embeddings,relieff,4,17,0.5479,0.5942
within,embeddings,all,5,3,0.6755,0.7089
within,embeddings,pca,5,13,0.5819,0.6138
within,embeddings,relieff,5,13,0.5558,0.6029
within,embeddings,all,6,3,0.6817,0.7131
within,embeddings,pca,6,15,0.5805,0.6132
within,embeddings,relieff,6,9,0.5518,0.5982
within,embeddings,all,7,3,0.6872,0.7178
within,embeddings,pca,7,19,0.5857,0.6160
within,embeddings,relieff,7,7,0.5590,0.6058
within,embeddings,all,8,1,0.6803,0.7114
within,embeddings,pca,8,11,0.5911,0.6234
within,embeddings,relieff,8,11,0.5633,0.6080
within,embeddings,all,9,1,0.6825,0.7113
within,embeddings,pca,9,19,0.5845,0.6174
within,embeddings,relieff,9,11,0.5209,0.5701
within,embeddings,all,10,5,0.6781,0.7078
within,embeddings,pca,10,15,0.5862,0.6174
within,embeddings,relieff,10,19,0.5549,0.6005
within,embeddings,all,1,1,0.6682,0.6991
within,embeddings,pca,1,13,0.5855,0.6183
within,embeddings,relieff,1,11,0.5565,0.6058
within,embeddings,all,2,3,0.6704,0.7018
within,embeddings,pca,2,11,0.5803,0.6127
within,embeddings,relieff,2,19,0.5315,0.5750
within,embeddings,all,3,1,0.6667,0.6976
within,embeddings,pca,3,13,0.5732,0.6053
within,embeddings,relieff,3,15,0.5602,0.6067
within,embeddings,all,4,1,0.6769,0.7096
within,embeddings,pca,4,5,0.5851,0.6194
within,embeddings,relieff,4,17,0.5479,0.5942
within,embeddings,all,5,3,0.6755,0.7089
within,embeddings,pca,5,13,0.5819,0.6138
within,embeddings,relieff,5,13,0.5558,0.6029
within,embeddings,all,6,3,0.6817,0.7131
within,embeddings,pca,6,15,0.5805,0.6132
within,embeddings,relieff,6,9,0.5518,0.5982
within,embeddings,all,7,3,0.6872,0.7178
within,embeddings,pca,7,19,0.5857,0.6160
within,embeddings,relieff,7,7,0.5590,0.6058
within,embeddings,all,8,1,0.6803,0.7114
within,embeddings,pca,8,11,0.5911,0.6234
within,embeddings,relieff,8,11,0.5633,0.6080
within,embeddings,all,9,1,0.6825,0.7113
within,embeddings,pca,9,19,0.5845,0.6174
within,embeddings,relieff,9,11,0.5209,0.5701
